Postcode	City	State
1000	KANGAR	PERLIS
1007	KANGAR	PERLIS
1009	KANGAR	PERLIS
1500	KANGAR	PERLIS
1502	KANGAR	PERLIS
1503	KANGAR	PERLIS
1504	KANGAR	PERLIS
1505	KANGAR	PERLIS
1506	KANGAR	PERLIS
1508	KANGAR	PERLIS
1512	KANGAR	PERLIS
1514	KANGAR	PERLIS
1516	KANGAR	PERLIS
1517	KANGAR	PERLIS
1518	KANGAR	PERLIS
1524	KANGAR	PERLIS
1529	KANGAR	PERLIS
1532	KANGAR	PERLIS
1538	KANGAR	PERLIS
1540	KANGAR	PERLIS
1546	KANGAR	PERLIS
1550	KANGAR	PERLIS
1551	KANGAR	PERLIS
1556	KANGAR	PERLIS
1560	KANGAR	PERLIS
1564	KANGAR	PERLIS
1570	KANGAR	PERLIS
1572	KANGAR	PERLIS
1576	KANGAR	PERLIS
1578	KANGAR	PERLIS
1582	KANGAR	PERLIS
1586	KANGAR	PERLIS
1590	KANGAR	PERLIS
1592	KANGAR	PERLIS
1594	KANGAR	PERLIS
1596	KANGAR	PERLIS
1598	KANGAR	PERLIS
1600	KANGAR	PERLIS
1604	KANGAR	PERLIS
1606	KANGAR	PERLIS
1608	KANGAR	PERLIS
1609	KANGAR	PERLIS
1610	KANGAR	PERLIS
1612	KANGAR	PERLIS
1614	KANGAR	PERLIS
1620	KANGAR	PERLIS
1622	KANGAR	PERLIS
1626	KANGAR	PERLIS
1628	KANGAR	PERLIS
1630	KANGAR	PERLIS
1632	KANGAR	PERLIS
1634	KANGAR	PERLIS
1644	KANGAR	PERLIS
1646	KANGAR	PERLIS
1648	KANGAR	PERLIS
1660	KANGAR	PERLIS
1664	KANGAR	PERLIS
1670	KANGAR	PERLIS
1672	KANGAR	PERLIS
1673	KANGAR	PERLIS
1674	KANGAR	PERLIS
1676	KANGAR	PERLIS
1680	KANGAR	PERLIS
1694	KANGAR	PERLIS
2000	KUALA PERLIS	PERLIS
2100	PADANG BESAR	PERLIS
2200	KAKI BUKIT	PERLIS
2400	KANGAR	PERLIS
2450	KANGAR	PERLIS
2500	KANGAR	PERLIS
2600	ARAU	PERLIS
2607	ARAU	PERLIS
2609	ARAU	PERLIS
2700	SIMPANG AMPAT	PERLIS
2707	SIMPANG AMPAT	PERLIS
2709	SIMPANG AMPAT	PERLIS
2800	SIMPANG AMPAT	PERLIS
5000	ALOR SETAR	KEDAH
5050	ALOR SETAR	KEDAH
5100	ALOR SETAR	KEDAH
5150	ALOR SETAR	KEDAH
5200	ALOR SETAR	KEDAH
5250	ALOR SETAR	KEDAH
5300	ALOR SETAR	KEDAH
5350	ALOR SETAR	KEDAH
5400	ALOR SETAR	KEDAH
5450	ALOR SETAR	KEDAH
5460	ALOR SETAR	KEDAH
5500	ALOR SETAR	KEDAH
5502	ALOR SETAR	KEDAH
5503	ALOR SETAR	KEDAH
5504	ALOR SETAR	KEDAH
5505	ALOR SETAR	KEDAH
5506	ALOR SETAR	KEDAH
5508	ALOR SETAR	KEDAH
5512	ALOR SETAR	KEDAH
5514	ALOR SETAR	KEDAH
5516	ALOR SETAR	KEDAH
5517	ALOR SETAR	KEDAH
5518	ALOR SETAR	KEDAH
5520	ALOR SETAR	KEDAH
5532	ALOR SETAR	KEDAH
5534	ALOR SETAR	KEDAH
5536	ALOR SETAR	KEDAH
5538	ALOR SETAR	KEDAH
5550	ALOR SETAR	KEDAH
5551	ALOR SETAR	KEDAH
5552	ALOR SETAR	KEDAH
5556	ALOR SETAR	KEDAH
5558	ALOR SETAR	KEDAH
5560	ALOR SETAR	KEDAH
5564	ALOR SETAR	KEDAH
5576	ALOR SETAR	KEDAH
5578	ALOR SETAR	KEDAH
5580	ALOR SETAR	KEDAH
5582	ALOR SETAR	KEDAH
5586	ALOR SETAR	KEDAH
5590	ALOR SETAR	KEDAH
5592	ALOR SETAR	KEDAH
5594	ALOR SETAR	KEDAH
5600	ALOR SETAR	KEDAH
5604	ALOR SETAR	KEDAH
5610	ALOR SETAR	KEDAH
5612	ALOR SETAR	KEDAH
5614	ALOR SETAR	KEDAH
5620	ALOR SETAR	KEDAH
5621	ALOR SETAR	KEDAH
5622	ALOR SETAR	KEDAH
5626	ALOR SETAR	KEDAH
5628	ALOR SETAR	KEDAH
5630	ALOR SETAR	KEDAH
5632	ALOR SETAR	KEDAH
5644	ALOR SETAR	KEDAH
5660	ALOR SETAR	KEDAH
5661	ALOR SETAR	KEDAH
5664	ALOR SETAR	KEDAH
5670	ALOR SETAR	KEDAH
5672	ALOR SETAR	KEDAH
5673	ALOR SETAR	KEDAH
5674	ALOR SETAR	KEDAH
5675	ALOR SETAR	KEDAH
5676	ALOR SETAR	KEDAH
5680	ALOR SETAR	KEDAH
5690	ALOR SETAR	KEDAH
5696	ALOR SETAR	KEDAH
5700	ALOR SETAR	KEDAH
5710	ALOR SETAR	KEDAH
5720	ALOR SETAR	KEDAH
5990	ALOR SETAR	KEDAH
6000	JITRA	KEDAH
6007	JITRA	KEDAH
6009	JITRA	KEDAH
6010	CHANGLOON	KEDAH
6050	BUKIT KAYU HITAM	KEDAH
6100	KODIANG	KEDAH
6150	AYER HITAM	KEDAH
6200	KEPALA BATAS	KEDAH
6207	KEPALA BATAS	KEDAH
6209	KEPALA BATAS	KEDAH
6250	ALOR SETAR	KEDAH
6300	KUALA NERANG	KEDAH
6350	POKOK SENA	KEDAH
6400	POKOK SENA	KEDAH
6500	LANGGAR	KEDAH
6507	LANGGAR	KEDAH
6509	ALOR SETAR	KEDAH
6550	ALOR SETAR	KEDAH
6570	ALOR SETAR	KEDAH
6600	KUALA KEDAH	KEDAH
6650	SIMPANG EMPAT	KEDAH
6660	ALOR SETAR	KEDAH
6680	SIMPANG EMPAT	KEDAH
6700	PENDANG	KEDAH
6707	PENDANG	KEDAH
6709	PENDANG	KEDAH
6710	PENDANG	KEDAH
6720	PENDANG	KEDAH
6750	PENDANG	KEDAH
6760	PENDANG	KEDAH
6800	KOTA SARANG SEMUT	KEDAH
6900	YAN	KEDAH
6910	YAN	KEDAH
7000	LANGKAWI	KEDAH
7007	LANGKAWI	KEDAH
7009	LANGKAWI	KEDAH
7100	LANGKAWI	KEDAH
8000	SUNGAI PETANI	KEDAH
8007	SUNGAI PETANI	KEDAH
8009	SUNGAI PETANI	KEDAH
8010	SUNGAI PETANI	KEDAH
8100	BEDONG	KEDAH
8110	BEDONG	KEDAH
8200	SIK	KEDAH
8210	SIK	KEDAH
8300	GURUN	KEDAH
8320	JENIANG	KEDAH
8330	GURUN	KEDAH
8340	SIK	KEDAH
8400	MERBOK	KEDAH
8407	MERBOK	KEDAH
8409	MERBOK	KEDAH
8500	KOTA KUALA MUDA	KEDAH
8507	KOTA KUALA MUDA	KEDAH
8509	KOTA KUALA MUDA	KEDAH
8600	SUNGAI PETANI	KEDAH
8700	JENIANG	KEDAH
8800	GURUN	KEDAH
9000	KULIM	KEDAH
9007	KULIM	KEDAH
9009	KULIM	KEDAH
9010	KULIM	KEDAH
9020	KULIM	KEDAH
9100	BALING	KEDAH
9110	KUALA PEGANG	KEDAH
9200	KUPANG	KEDAH
9300	KUALA KETIL	KEDAH
9310	KUALA KETIL	KEDAH
9400	PADANG SERAI	KEDAH
9410	PADANG SERAI	KEDAH
9600	LUNAS	KEDAH
9700	KARANGAN	KEDAH
9800	SERDANG	KEDAH
9810	SERDANG	KEDAH
10000	PULAU PINANG	PENANG
10020	PULAU PINANG	PENANG
10050	PULAU PINANG	PENANG
10100	PULAU PINANG	PENANG
10110	PULAU PINANG	PENANG
10150	PULAU PINANG	PENANG
10160	PULAU PINANG	PENANG
10200	PULAU PINANG	PENANG
10250	PULAU PINANG	PENANG
10300	PULAU PINANG	PENANG
10350	PULAU PINANG	PENANG
10400	PULAU PINANG	PENANG
10420	PULAU PINANG	PENANG
10450	PULAU PINANG	PENANG
10460	PULAU PINANG	PENANG
10470	PULAU PINANG	PENANG
10500	PULAU PINANG	PENANG
10502	PULAU PINANG	PENANG
10503	PULAU PINANG	PENANG
10504	PULAU PINANG	PENANG
